NAME,TYPE,PHONE,ANNUALREVENUE,SITE
Marcin,New Customer,123456789,250000,PKO Bank Polski
Sebastian,Existing Customer,654735646,660000,Santander Bank
Anna,New Customer,987654321,180000,ING Bank
Katarzyna,Existing Customer,546789123,400000,Bank Millennium
Piotr,New Customer,654321987,120000,BZ WBK
Magdalena,Existing Customer,789123456,350000,PKO Bank Polski
Jakub,New Customer,369258147,290000,Bank Pekao
Ewa,Existing Customer,258369147,520000,Bank Millennium
Tomasz,New Customer,123789456,180000,Santander Bank
Aleksandra,Existing Customer,987654123,450000,ING Bank
Marek,New Customer,789456123,150000,BZ WBK
Weronika,Existing Customer,147258369,380000,Bank Pekao
Michał,New Customer,456789123,210000,PKO Bank Polski
Monika,Existing Customer,321987654,600000,Bank Millennium
Kamil,New Customer,369852147,170000,Santander Bank
Justyna,Existing Customer,741258963,420000,ING Bank
Łukasz,New Customer,123654789,230000,BZ WBK
Natalia,Existing Customer,789456321,320000,Bank Pekao
Krzysztof,New Customer,654987321,280000,PKO Bank Polski
Alicja,Existing Customer,987321654,520000,Bank Millennium
